locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
2277,CARABAYLLO,Lima,PE,2021-08-17T11:00:00+00:00,2021-08-17T10:00:00-01:00,pm10,20.49,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T10:00:00+00:00,2021-08-17T09:00:00-01:00,pm10,35.76,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T10:00:00+00:00,2021-08-17T09:00:00-01:00,pm25,45.5,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T09:00:00+00:00,2021-08-17T08:00:00-01:00,pm25,51.49,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T09:00:00+00:00,2021-08-17T08:00:00-01:00,pm10,44.7,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T08:00:00+00:00,2021-08-17T07:00:00-01:00,pm10,51.11,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T08:00:00+00:00,2021-08-17T07:00:00-01:00,pm25,53.55,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T07:00:00+00:00,2021-08-17T06:00:00-01:00,pm25,54.69,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T07:00:00+00:00,2021-08-17T06:00:00-01:00,pm10,57.09,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T06:00:00+00:00,2021-08-17T05:00:00-01:00,pm10,48.52,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T06:00:00+00:00,2021-08-17T05:00:00-01:00,pm25,49.25,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T05:00:00+00:00,2021-08-17T04:00:00-01:00,pm25,43.59,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T05:00:00+00:00,2021-08-17T04:00:00-01:00,pm10,54.09,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T04:00:00+00:00,2021-08-17T03:00:00-01:00,pm10,58.63,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T04:00:00+00:00,2021-08-17T03:00:00-01:00,pm25,44.14,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T03:00:00+00:00,2021-08-17T02:00:00-01:00,pm25,38.74,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T03:00:00+00:00,2021-08-17T02:00:00-01:00,pm10,68.85,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T02:00:00+00:00,2021-08-17T01:00:00-01:00,pm10,69.31,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T02:00:00+00:00,2021-08-17T01:00:00-01:00,pm25,36.27,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T01:00:00+00:00,2021-08-17T00:00:00-01:00,pm25,25.34,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T01:00:00+00:00,2021-08-17T00:00:00-01:00,pm10,68.65,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T00:00:00+00:00,2021-08-16T23:00:00-01:00,pm10,66.83,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-17T00:00:00+00:00,2021-08-16T23:00:00-01:00,pm25,18.39,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T23:00:00+00:00,2021-08-16T22:00:00-01:00,pm25,17.82,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T23:00:00+00:00,2021-08-16T22:00:00-01:00,pm10,59.85,µg/m³,-11.902194,-77.033639
